"Šifra";"Naziv proizvoda";"Brend";"Kategorija";"Aktualna cijena (EUR)";"Redovna cijena (EUR)";"Dostupne veličine";"Boja";"Dostupnost";"Poveznica"
"AA01_B_SILVER";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"56,99";"62,99";"37, 40, 41";"srebrna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12391/"
"AA01_N_WHITE";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"56,99";"62,99";"36, 41, 42";"bijela";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12432/"
"AA01_P_GOLD";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"56,99";"62,99";"36, 37";"zlatna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12433/"
"AA01_BLACKPUDER";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"56,99";"62,99";"37, 41";"crna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12773/"
"AA01_GOLDPUDER";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"56,99";"62,99";"37, 39, 41";"zlatna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12774/"
"AA01_TERAKOTAW";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"58,99";"64,99";"36, 37, 38, 40, 41, 42";"smeda";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12843/"
"AA01_PERLAWHT";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"58,99";"64,99";"36, 37, 38, 41";"";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12844/"
"AA01_GOLDWHT";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"58,99";"64,99";"38, 40, 41";"zlatna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12845/"
"AA01_WWHITE";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"58,99";"62,99";"36, 40, 42";"bijela";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12849/"
"AA01_SILVERWHT";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"58,99";"62,99";"36, 38";"srebrna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12868/"
"AA01_BLACKWHT";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"58,99";"62,99";"37, 38, 39, 40, 41, 42";"crna";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12869/"
"KOA01_HEART_K";"BIANCOMOLINA KLOMPE S JASTUKOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"47,99";"62,99";"36";"sareno";"Dostupno";"https://woolf.hr/klompe-s-jastukom-proizvod-12913/"
"F01_RED_NN";"BIANCOMOLINA KLOMPE S OPRUGOM";"BIANCOMOLINA";"Žensko - Obuća - Anatomska obuća - Klompe";"52,99";"59,59";"36, 42";"crvena";"Dostupno";"https://woolf.hr/klompe-s-oprugom-proizvod-5078/"
